0 0.520011 2.28088 0.185539
1 0.523019 2.28163 0.36608, 19
2 0.531242 2.27656 0.573032 1
3 0.531932 2.27571 0.813078 2
4 0.525142 2.28304 1.11057 3
5 0.5209 2.28355 0.840088 2
6 0.529504 2.27921 0.31955 4
7 0.515569 2.27986 0.515162 36
8 0.507853 2.28162 0.621588 4
9 0.50087 2.28412 0.583346 4
10 0.498787 2.28733 0.663529 15
11 0.50147 2.28269 0.944188 4
12 0.49998 2.28392 0.707125 5
13 0.498851 2.28461 0.651856 8
14 0.512695 2.2849 0.6163 3
15 0.530112 2.27909 0.333697 1
16 0.52493 2.27845 0.355409 17
17 0.531802 2.27873 0.375066 6
18 0.525683 2.28056 0.309511 5
19 0.511518 2.28222 0.255141 8
20 0.51388 2.28189 0.212937 5
21 0.516559 2.28155 0.18581 1
22 0.522085 2.27988 0.218009 7
23 0.516774 2.28227 0.214295 3
24 0.516921 2.28229 0.218788 6
25 0.517672 2.28013 0.31381 9
26 0.518632 2.27975 0.347053 12
27 0.510261 2.28267 0.25744 3
28 0.508217 2.28673 0.997331 9
29 0.513225 2.28473 0.598451 2
30 0.515436 2.28336 0.341993 24
31 0.505907 2.28667 0.779208 7
32 0.491457 2.28883 0.912681 4
33 0.487004 2.2896 1.10104 10
34 0.492726 2.28691 0.789434 23
35 0.493059 2.28903 0.95981 1
36 0.494304 2.28912 1.01928 3
37 0.494776 2.286 0.742456 2
38 0.508864 2.28426 0.301143 6
39 0.514057 2.28174 0.219482 6
40 0.503346 2.28709 0.767053 3
41 0.506249 2.28397 0.311271 13
42 0.505241 2.28198 0.769272 3
43 0.511921 2.28484 0.543914 12
44 0.507402 2.285 0.383971 3
45 0.513341 2.28345 0.279074 1
46 0.493605 2.28666 0.751803 8
47 0.500427 2.28642 0.521353 16
48 0.512491 2.28232 0.219031 13
49 0.511649 2.28469 0.481734 3
50 0.503576 2.28606 0.495814 12
51 0.512082 2.28431 0.402413 2
52 0.51526 2.28263 0.220062 2
53 0.504458 2.28417 0.36298 21
54 0.501669 2.28549 0.430505 3
55 0.49773 2.28709 0.615624 3
56 0.501853 2.28706 0.682533 1
57 0.50753 2.28443 0.309486 8
58 0.512128 2.28362 0.273673 4
59 0.516715 2.28286 0.296322 33
60 0.513373 2.2832 0.246101 2
61 0.513343 2.28267 0.206172 16
62 0.512815 2.28173 0.262825 1
63 0.509048 2.28295 0.276921 6
64 0.516451 2.28144 0.190544 4
65 0.514478 2.28142 0.238476 20
66 0.507755 2.2835 0.284887 40
67 0.511148 2.28188 0.316642 2
68 0.50802 2.28486 0.373266 16
69 0.5129 2.28004 0.688296 15
70 0.524671 2.27888 0.287747 1
71 0.543314 2.27633 0.792175 9
72 0.525304 2.2797 0.229165 11
73 0.518659 2.27955 0.390796 7
74 0.519629 2.2821 0.283155 3
75 0.523593 2.28089 0.263226 6
76 0.533463 2.27977 0.701504 7
77 0.526224 2.27982 0.252551 6
78 0.522403 2.28074 0.212175 12
79 0.516641 2.28108 0.211382 19
80 0.524594 2.27858 0.340042 11
81 0.521906 2.27878 0.410042 1
82 0.530679 2.27808 0.334298 2
83 0.540481 2.2743 0.922382 8
84 0.516627 2.28201 0.192544 10
85 0.498543 2.28407 0.813602 20
86 0.49805 2.28505 0.634937 9
87 0.513999 2.28319 0.2582 3
88 0.515272 2.28161 0.201014 37
89 0.523777 2.28175 0.448009 3
90 0.506358 2.28556 0.465354 5
91 0.508968 2.28578 0.662539 8
92 0.518501 2.28155 0.189572 7
93 0.513292 2.28227 0.2059 10
94 0.519139 2.2809 0.186103 24
95 0.5157 2.28334 0.348277 13
96 0.510503 2.28229 0.287765 21
97 0.506297 2.28253 0.501827 4
98 0.496871 2.28631 0.591705 1
99 0.502061 2.28398 0.518809 6
100 0.507864 2.28334 0.289987 1
101 0.509495 2.28279 0.273873 8
102 0.512869 2.2843 0.440871 15
103 0.519902 2.28037 0.207589 6
104 0.519661 2.28136 0.19655 21
105 0.519107 2.28211 0.263044 4
106 0.527191 2.27993 0.295526 5
107 0.528352 2.27791 0.363804 15
108 0.514718 2.27899 0.935406 25
109 0.537052 2.27707 0.504475 4
110 0.534926 2.2746 1.07359 9
111 0.517273 2.27821 1.01869 2
112 0.509004 2.2833 0.259169 2
113 0.514904 2.28595 1.36636 20
114 0.51496 2.28258 0.210964 3
115 0.50789 2.28255 0.38624 6
116 0.506121 2.28476 0.337272 9
117 0.512734 2.28326 0.24221 30
118 0.516227 2.28007 0.406128 1
119 0.498733 2.2879 0.807226 1
120 0.506295 2.28637 0.692803 5
121 0.51403 2.28359 0.327578 5
122 0.533606 2.27762 0.399786 21
123 0.533089 2.27739 0.403755 22
124 0.527801 2.27811 0.341629 23
125 0.534868 2.276 0.607977 3
126 0.518432 2.27881 0.639499 23
127 0.522386 2.28111 0.245598 4
128 0.52286 2.28088 0.236468 7
129 0.518421 2.28204 0.229507 13
130 0.522673 2.28098 0.239956 2
131 0.528862 2.27875 0.287259 10
132 0.544901 2.27581 0.848362 14
133 0.536985 2.27868 0.724716 40
134 0.535297 2.27811 0.488863 9
135 0.528469 2.27886 0.27947 15
136 0.514161 2.28389 0.403342 28
137 0.514647 2.28348 0.330503 5
