This is potfit-git compiled on Nov 22 2016, 17:49:28.

Reading parameter file >> input_test.tmp << ... 
Reading parameter file >> input_test.tmp << ... done
Starting to read the potential file:
 - Potential file format 0 (analytic potentials) detected
 - Using 1 PAIR potentials to calculate forces
 - Successfully read 1 potential table(s)
Reading potential file >> morse_230616.pot << ... done
Reading the config file >> potfit_initial_230616.config << and calculating neighbor lists ...
Reading the config file >> potfit_initial_230616.config << and calculating neighbor lists ... done

Read 6 configurations (6 with forces, 0 with stresses)
with a total of 182 atoms (182 Ni (100.00%)).

Minimal Distances Matrix:
Atom	      Ni	with
Ni	2.276916	

Global energy weight: 100.000000

Starting optimization with 4 parameters.
  k	T        	  m	F          	F_opt
  0	100.000000	  0	24388300627343063028652741079655172276224.000000	24388300627343063028652741079655172276224.000000
  0	100.000000	  1	58586929349108884931634563907584.000000	58586929349108884931634563907584.000000
  0	100.000000	  2	8759463382772590755971072.000000	8759463382772590755971072.000000
  0	100.000000	  3	27558401444744312.000000	27558401444744312.000000
  0	100.000000	  4	9776921828.974667	9776921828.974667
  0	100.000000	  5	9075.753764	9075.753764
  0	100.000000	  6	6578.484081	6578.484081
  0	100.000000	  7	4145.693558	4107.109802
  0	100.000000	  8	493.082358	332.087182
  0	100.000000	  9	176.734961	176.432317
  0	100.000000	 10	358.338021	98.803825
  0	100.000000	 11	365.236371	98.803825
  0	100.000000	 12	231.369791	98.803825
  1	85.000000	  1	167.830753	98.803825
  1	85.000000	  2	68.264723	13.586572
  1	85.000000	  3	164.579744	13.586572
  1	85.000000	  4	128.648424	11.376356
  1	85.000000	  5	37.015853	11.376356
  1	85.000000	  6	44.887403	11.376356
  1	85.000000	  7	51.122858	11.376356
  1	85.000000	  8	76.392415	11.376356
  1	85.000000	  9	59.712771	9.925562
  1	85.000000	 10	262.990126	9.925562
  1	85.000000	 11	140.466176	9.925562
  1	85.000000	 12	121.724401	9.925562
  2	72.250000	  1	36.610146	9.925562
  2	72.250000	  2	127.557353	9.925562
  2	72.250000	  3	107.170625	9.925562
  2	72.250000	  4	78.839527	9.925562
  2	72.250000	  5	163.369245	9.925562
  2	72.250000	  6	62.053932	8.519290
  2	72.250000	  7	117.728105	8.519290
  2	72.250000	  8	109.433043	8.519290
  2	72.250000	  9	89.166627	8.519290
  2	72.250000	 10	93.975281	8.519290
  2	72.250000	 11	31.111509	8.519290
  2	72.250000	 12	85.443290	8.519290
  3	61.412500	  1	68.720840	8.487508
  3	61.412500	  2	15.084666	8.487508
  3	61.412500	  3	55.080244	8.487508
  3	61.412500	  4	84.583507	8.487508
  3	61.412500	  5	211.070246	8.487508
  3	61.412500	  6	283.615193	8.487508
  3	61.412500	  7	207.253401	8.487508
  3	61.412500	  8	168.790896	8.487508
  3	61.412500	  9	144.071147	8.487508
  3	61.412500	 10	82.055523	8.487508
  3	61.412500	 11	127.857926	8.487508
  3	61.412500	 12	193.392683	8.356377
  4	52.200625	  1	41.141712	8.356377
  4	52.200625	  2	202.631965	8.356377
  4	52.200625	  3	41.029519	8.356377
  4	52.200625	  4	83.277807	8.356377
  4	52.200625	  5	68.302108	8.356377
  4	52.200625	  6	97.420956	8.356377
  4	52.200625	  7	30.920292	8.356377
  4	52.200625	  8	21.775244	8.356377
  4	52.200625	  9	26.844243	8.356377
  4	52.200625	 10	159.851405	8.356377
  4	52.200625	 11	17.227622	8.356377
  4	52.200625	 12	75.141737	8.356377
  5	44.370531	  1	47.608382	8.356377
  5	44.370531	  2	132.659881	8.356377
  5	44.370531	  3	44.654201	8.356377
  5	44.370531	  4	32.087099	8.356377
  5	44.370531	  5	92.300832	8.356377
  5	44.370531	  6	42.836239	8.356377
  5	44.370531	  7	34.627816	8.356377
  5	44.370531	  8	68.200926	8.356377
  5	44.370531	  9	41.831319	8.356377
  5	44.370531	 10	24.241657	8.356377
  5	44.370531	 11	67.143752	8.356377
  5	44.370531	 12	13.897702	8.356377
  6	37.714952	  1	26.155686	8.356377
  6	37.714952	  2	39.797902	8.356377
  6	37.714952	  3	40.602170	8.356377
  6	37.714952	  4	40.893648	8.356377
  6	37.714952	  5	93.914648	8.356377
  6	37.714952	  6	70.533371	8.356377
  6	37.714952	  7	194.626950	8.356377
  6	37.714952	  8	112.357413	8.356377
  6	37.714952	  9	82.806057	8.356377
  6	37.714952	 10	43.001651	8.356377
  6	37.714952	 11	75.749593	8.356377
  6	37.714952	 12	29.024763	8.356377
  7	32.057709	  1	63.306715	8.356377
  7	32.057709	  2	62.452895	8.356377
  7	32.057709	  3	70.623575	8.356377
  7	32.057709	  4	27.551897	8.356377
  7	32.057709	  5	12.440035	8.356377
  7	32.057709	  6	11.148718	8.356377
  7	32.057709	  7	55.206269	8.356377
  7	32.057709	  8	26.026133	8.356377
  7	32.057709	  9	133.034655	8.356377
  7	32.057709	 10	20.096146	8.356377
  7	32.057709	 11	64.729641	8.356377
  7	32.057709	 12	82.280558	8.356377
  8	27.249053	  1	24.647041	8.356377
  8	27.249053	  2	27.752275	8.356377
  8	27.249053	  3	42.916656	8.356377
  8	27.249053	  4	38.543097	8.356377
  8	27.249053	  5	15.801692	8.356377
  8	27.249053	  6	31.549919	8.356377
  8	27.249053	  7	41.602121	8.356377
  8	27.249053	  8	38.731225	8.356377
  8	27.249053	  9	118.529398	8.356377
  8	27.249053	 10	42.320747	8.356377
  8	27.249053	 11	76.844759	8.356377
  8	27.249053	 12	109.808635	8.356377
  9	23.161695	  1	67.722453	8.356377
  9	23.161695	  2	84.775032	8.356377
  9	23.161695	  3	50.216494	8.356377
  9	23.161695	  4	30.111167	8.356377
  9	23.161695	  5	46.745987	8.356377
  9	23.161695	  6	15.064863	8.356377
  9	23.161695	  7	30.496777	8.352802
  9	23.161695	  8	28.295294	8.352802
  9	23.161695	  9	18.834733	8.352802
  9	23.161695	 10	26.824417	8.352802
  9	23.161695	 11	12.261107	8.352802
  9	23.161695	 12	30.648526	8.352802
 10	19.687440	  1	17.125897	8.352802
 10	19.687440	  2	37.353339	8.172188
 10	19.687440	  3	115.822007	8.172188
 10	19.687440	  4	73.022658	8.172188
 10	19.687440	  5	11.487603	8.172188
 10	19.687440	  6	79.971051	8.172188
 10	19.687440	  7	10.354448	8.172188
 10	19.687440	  8	18.125381	8.172188
 10	19.687440	  9	37.003621	8.172188
 10	19.687440	 10	8.985744	8.172188
 10	19.687440	 11	66.028942	8.172188
 10	19.687440	 12	46.876830	8.172188
